Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Segment
326,1,77183.6,1,1,5,115,At Risk / Lost Customers
2,7,4310.0,5,5,5,555,Champions
75,4,1797.24,2,4,4,244,Loyal Customers
19,1,1757.55,4,1,4,414,About to Sleep
310,1,334.40000000000003,1,1,2,112,At Risk / Lost Customers
36,8,2506.04,3,5,5,355,Loyal Customers
204,1,89.0,1,1,1,111,At Risk / Lost Customers
232,1,1079.4,1,1,4,114,At Risk / Lost Customers
214,1,459.40000000000003,1,1,2,112,At Risk / Lost Customers
23,3,2811.43,4,3,5,435,Loyal Customers
33,1,6207.67,4,1,5,415,About to Sleep
2,2,1168.06,5,2,4,524,About to Sleep
58,4,6372.58,3,4,5,345,Loyal Customers
52,3,2662.06,3,3,5,335,Loyal Customers
287,1,189.9,1,1,1,111,At Risk / Lost Customers
3,10,5226.2300000000005,5,5,5,555,Champions
110,2,552.0,2,2,3,223,At Risk / Lost Customers
8,4,1313.1,5,4,4,544,Champions
291,2,641.38,1,2,3,123,At Risk / Lost Customers
4,1,168.9,5,1,1,511,Recent / New Customers
51,4,3545.69,3,4,5,345,Loyal Customers
45,2,1887.96,3,2,4,324,About to Sleep
72,3,1298.04,3,3,4,334,Loyal Customers
311,1,364.6,1,1,2,112,At Risk / Lost Customers
25,1,742.9300000000001,4,1,3,413,About to Sleep
11,2,457.5,5,2,2,522,Recent / New Customers
315,2,1628.1200000000001,1,2,4,124,At Risk / Lost Customers
130,1,4008.62,2,1,5,215,At Risk / Lost Customers
82,2,852.24,2,2,3,223,At Risk / Lost Customers
22,4,2724.81,4,4,5,445,Champions
5,5,1845.31,5,4,4,544,Champions
185,5,1850.56,1,4,4,144,At Risk / Lost Customers
29,2,585.27,4,2,3,423,About to Sleep
338,2,401.9,1,2,2,122,At Risk / Lost Customers
16,6,2780.6600000000003,4,4,5,445,Champions
80,1,549.84,2,1,3,213,At Risk / Lost Customers
22,1,460.89,4,1,2,412,Recent / New Customers
72,4,1582.6000000000001,3,4,4,344,Loyal Customers
64,2,1272.48,3,2,4,324,About to Sleep
19,12,3018.63,4,5,5,455,Champions
36,2,2409.9,3,2,5,325,About to Sleep
46,1,1635.6599999999999,3,1,4,314,About to Sleep
119,4,1108.65,2,4,4,244,Loyal Customers
303,1,84.3,1,1,1,111,At Risk / Lost Customers
323,1,225.60000000000002,1,1,1,111,At Risk / Lost Customers
50,1,427.7,3,1,2,312,Recent / New Customers
149,1,1710.39,2,1,4,214,At Risk / Lost Customers
22,2,3415.3,4,2,5,425,About to Sleep
50,5,1708.12,3,4,4,344,Loyal Customers
33,5,2888.55,4,4,5,445,Champions
79,3,11072.67,2,3,5,235,Loyal Customers
309,2,693.33,1,2,3,123,At Risk / Lost Customers
75,3,1226.88,2,3,4,234,Loyal Customers
67,3,758.1,3,3,3,333,Loyal Customers
217,3,562.4100000000001,1,3,3,133,At Risk / Lost Customers
24,21,124914.53,4,5,5,455,Champions
3,9,3649.1,5,5,5,555,Champions
113,1,668.58,2,1,3,213,At Risk / Lost Customers
64,1,600.39,3,1,3,313,About to Sleep
16,4,807.04,4,4,3,443,Loyal Customers
96,3,803.5600000000001,2,3,3,233,Loyal Customers
1,8,1859.31,5,5,4,554,Champions
163,2,1760.96,2,2,4,224,At Risk / Lost Customers
78,1,777.2,2,1,3,213,At Risk / Lost Customers
195,1,582.73,1,1,3,113,At Risk / Lost Customers
22,3,825.8000000000001,4,3,3,433,Loyal Customers
26,9,7956.46,4,5,5,455,Champions
9,4,3750.4,5,4,5,545,Champions
43,1,256.4,3,1,2,312,Recent / New Customers
36,15,6487.45,3,5,5,355,Loyal Customers
43,5,5059.32,3,4,5,345,Loyal Customers
1,7,13375.87,5,5,5,555,Champions
85,2,806.14,2,2,3,223,At Risk / Lost Customers
80,2,7829.89,2,2,5,225,At Risk / Lost Customers
100,1,509.01,2,1,3,213,At Risk / Lost Customers
2,18,4951.41,5,5,5,555,Champions
14,2,2906.85,4,2,5,425,About to Sleep
367,1,173.55,1,1,1,111,At Risk / Lost Customers
3,1,172.06,5,1,1,511,Recent / New Customers
21,5,5005.46,4,4,5,445,Champions
22,1,133.4,4,1,1,411,Recent / New Customers
58,1,1002.3100000000001,3,1,4,314,About to Sleep
243,1,476.49,1,1,2,112,At Risk / Lost Customers
44,1,449.45,3,1,2,312,Recent / New Customers
22,4,4067.29,4,4,5,445,Champions
156,2,197.88,2,2,1,221,At Risk / Lost Customers
11,5,9035.52,5,4,5,545,Champions
17,2,430.57000000000005,4,2,2,422,Recent / New Customers
134,1,707.09,2,1,3,213,At Risk / Lost Customers
56,1,3528.34,3,1,5,315,About to Sleep
73,6,2466.86,2,4,5,245,Loyal Customers
44,3,3181.04,3,3,5,335,Loyal Customers
66,7,2363.23,3,5,5,355,Loyal Customers
71,2,947.4,3,2,4,324,About to Sleep
94,2,826.88,2,2,3,223,At Risk / Lost Customers
19,2,1189.59,4,2,4,424,About to Sleep
53,4,1344.78,3,4,4,344,Loyal Customers
10,8,1212.05,5,5,4,554,Champions
17,2,742.19,4,2,3,423,About to Sleep
188,2,729.54,1,2,3,123,At Risk / Lost Customers
2,30,19824.05,5,5,5,555,Champions
32,7,6572.11,4,5,5,455,Champions
29,5,3938.55,4,4,5,445,Champions
17,18,7375.79,4,5,5,455,Champions
54,1,723.38,3,1,3,313,About to Sleep
16,11,6816.42,4,5,5,455,Champions
23,6,13219.74,4,4,5,445,Champions
4,1,680.99,5,1,3,513,About to Sleep
11,1,527.2,5,1,3,513,About to Sleep
28,4,3281.63,4,4,5,445,Champions
23,10,5596.32,4,5,5,455,Champions
17,8,2484.98,4,5,5,455,Champions
33,6,4541.72,4,4,5,445,Champions
10,3,1298.66,5,3,4,534,Loyal Customers
336,1,334.93,1,1,2,112,At Risk / Lost Customers
5,10,5417.93,5,5,5,555,Champions
39,1,460.40000000000003,3,1,2,312,Recent / New Customers
63,2,263.21000000000004,3,2,2,322,Recent / New Customers
166,2,433.74,2,2,2,222,At Risk / Lost Customers
16,7,1246.1,4,5,4,454,Champions
82,1,1043.1,2,1,4,214,At Risk / Lost Customers
21,3,403.70000000000005,4,3,2,432,Loyal Customers
23,11,4257.82,4,5,5,455,Champions
337,1,2169.39,1,1,5,115,At Risk / Lost Customers
96,5,3723.87,2,4,5,245,Loyal Customers
18,2,482.04999999999995,4,2,2,422,Recent / New Customers
233,1,73.5,1,1,1,111,At Risk / Lost Customers
134,3,1304.81,2,3,4,234,Loyal Customers
26,2,398.27,4,2,2,422,Recent / New Customers
284,1,176.5,1,1,1,111,At Risk / Lost Customers
143,2,982.5699999999999,2,2,4,224,At Risk / Lost Customers
66,2,138.03,3,2,1,321,Recent / New Customers
113,1,612.29,2,1,3,213,At Risk / Lost Customers
267,1,1017.6800000000001,1,1,4,114,At Risk / Lost Customers
353,1,383.7,1,1,2,112,At Risk / Lost Customers
78,2,1312.06,2,2,4,224,At Risk / Lost Customers
28,5,2502.84,4,4,5,445,Champions
1,5,2056.89,5,4,4,544,Champions
64,1,340.84000000000003,3,1,2,312,Recent / New Customers
79,5,2634.26,2,4,5,245,Loyal Customers
143,1,599.68,2,1,3,213,At Risk / Lost Customers
39,2,192.72,3,2,1,321,Recent / New Customers
19,11,1789.77,4,5,4,454,Champions
9,8,4485.72,5,5,5,555,Champions
1,3,1316.66,5,3,4,534,Loyal Customers
82,3,348.71000000000004,2,3,2,232,Loyal Customers
9,6,1933.48,5,5,4,554,Champions
60,4,1662.28,3,4,4,344,Loyal Customers
15,1,125.22,4,1,1,411,Recent / New Customers
30,1,349.83000000000004,4,1,2,412,Recent / New Customers
131,1,1089.18,2,1,4,214,At Risk / Lost Customers
92,2,716.35,2,2,3,223,At Risk / Lost Customers
43,3,12601.830000000002,3,3,5,335,Loyal Customers
29,1,363.95,4,1,2,412,Recent / New Customers
22,4,5568.35,4,4,5,445,Champions
20,17,13400.24,4,5,5,455,Champions
30,3,981.18,4,3,4,434,Loyal Customers
36,1,372.7,3,1,2,312,Recent / New Customers
